question,critere,n
"Selon vous, quels sont les principaux avantages de l'Union européenne pour ses citoyens ? (vous pouvez cocher trois réponses maximum)",Plus de paix et de stabilité en Europe,708
"Selon vous, quels sont les principaux avantages de l'Union européenne pour ses citoyens ? (vous pouvez cocher trois réponses maximum)",Une meilleure garantie des droits et des libertés fondamentales,275
"Selon vous, quels sont les principaux avantages de l'Union européenne pour ses citoyens ? (vous pouvez cocher trois réponses maximum)",La libre circulation des personnes,693
"Selon vous, quels sont les principaux avantages de l'Union européenne pour ses citoyens ? (vous pouvez cocher trois réponses maximum)",La libre circulation des biens et des services,244
"Selon vous, quels sont les principaux avantages de l'Union européenne pour ses citoyens ? (vous pouvez cocher trois réponses maximum)",Une meilleure protection de l’environnement,93
"Selon vous, quels sont les principaux avantages de l'Union européenne pour ses citoyens ? (vous pouvez cocher trois réponses maximum)",L’Euro,374
"Selon vous, quels sont les principaux avantages de l'Union européenne pour ses citoyens ? (vous pouvez cocher trois réponses maximum)",Une meilleure protection des consommateurs,54
"Selon vous, quels sont les principaux avantages de l'Union européenne pour ses citoyens ? (vous pouvez cocher trois réponses maximum)","Une multiplication des échanges dans les domaines de l’éducation et de la culture (par exemple, Erasmus)",418
"Selon vous, quels sont les principaux avantages de l'Union européenne pour ses citoyens ? (vous pouvez cocher trois réponses maximum)",Une amélioration du niveau de vie des habitants,109
"Selon vous, quels sont les principaux avantages de l'Union européenne pour ses citoyens ? (vous pouvez cocher trois réponses maximum)",Aucun,167
"Selon vous, quels sont les principaux avantages de l'Union européenne pour ses citoyens ? (vous pouvez cocher trois réponses maximum)",Autre :,75
"Selon vous, quels sont les principaux avantages de l'Union européenne pour ses citoyens ? (vous pouvez cocher trois réponses maximum)",Ne sait pas,6
"Selon vous, dans quels domaines l'action de l'Union européenne n’est pas satisfaisante ? (vous pouvez cocher trois réponses maximum)",Dans le soutien à la croissance économique et à l’emploi,515
"Selon vous, dans quels domaines l'action de l'Union européenne n’est pas satisfaisante ? (vous pouvez cocher trois réponses maximum)",Dans la gestion des réfugiés et des migrations,763
"Selon vous, dans quels domaines l'action de l'Union européenne n’est pas satisfaisante ? (vous pouvez cocher trois réponses maximum)",Dans la lutte contre le changement climatique,259
"Selon vous, dans quels domaines l'action de l'Union européenne n’est pas satisfaisante ? (vous pouvez cocher trois réponses maximum)",Dans la lutte contre le terrorisme,346
"Selon vous, dans quels domaines l'action de l'Union européenne n’est pas satisfaisante ? (vous pouvez cocher trois réponses maximum)",Dans la conduite de la politique agricole,262
"Selon vous, dans quels domaines l'action de l'Union européenne n’est pas satisfaisante ? (vous pouvez cocher trois réponses maximum)",Dans la mise en place de règles convergentes en matière sociale,627
"Selon vous, dans quels domaines l'action de l'Union européenne n’est pas satisfaisante ? (vous pouvez cocher trois réponses maximum)",Dans le soutien aux entreprises européennes au niveau mondial,144
"Selon vous, dans quels domaines l'action de l'Union européenne n’est pas satisfaisante ? (vous pouvez cocher trois réponses maximum)","Dans la stabilisation et la pacification des pays voisins de l’Union européenne, et dans la résolution des conflits internationaux",375
"Selon vous, dans quels domaines l'action de l'Union européenne n’est pas satisfaisante ? (vous pouvez cocher trois réponses maximum)",Aucun,14
"Selon vous, dans quels domaines l'action de l'Union européenne n’est pas satisfaisante ? (vous pouvez cocher trois réponses maximum)",Autre :,200
"Selon vous, dans quels domaines l'action de l'Union européenne n’est pas satisfaisante ? (vous pouvez cocher trois réponses maximum)",Ne sait pas,3
"Selon vous, dans quels domaines l'Union européenne devrait agir de manière plus énergique et coordonnée ? (vous pouvez cocher trois réponses maximum)",Dans le soutien à la croissance économique et à l’emploi,535
"Selon vous, dans quels domaines l'Union européenne devrait agir de manière plus énergique et coordonnée ? (vous pouvez cocher trois réponses maximum)",Dans la gestion des réfugiés et des migrations,727
"Selon vous, dans quels domaines l'Union européenne devrait agir de manière plus énergique et coordonnée ? (vous pouvez cocher trois réponses maximum)",Dans la lutte contre le changement climatique,304
"Selon vous, dans quels domaines l'Union européenne devrait agir de manière plus énergique et coordonnée ? (vous pouvez cocher trois réponses maximum)",Dans la lutte contre le terrorisme,375
"Selon vous, dans quels domaines l'Union européenne devrait agir de manière plus énergique et coordonnée ? (vous pouvez cocher trois réponses maximum)",Dans la conduite de la politique agricole commune,153
"Selon vous, dans quels domaines l'Union européenne devrait agir de manière plus énergique et coordonnée ? (vous pouvez cocher trois réponses maximum)",Dans la mise en place de règles convergentes en matière sociale,627
"Selon vous, dans quels domaines l'Union européenne devrait agir de manière plus énergique et coordonnée ? (vous pouvez cocher trois réponses maximum)",Dans le soutien aux entreprises européennes au niveau mondial,148
"Selon vous, dans quels domaines l'Union européenne devrait agir de manière plus énergique et coordonnée ? (vous pouvez cocher trois réponses maximum)","Dans la stabilisation et la pacification des pays voisins de l’Union européenne, et dans la résolution des conflits internationaux",310
"Selon vous, dans quels domaines l'Union européenne devrait agir de manière plus énergique et coordonnée ? (vous pouvez cocher trois réponses maximum)",Aucun,52
"Selon vous, dans quels domaines l'Union européenne devrait agir de manière plus énergique et coordonnée ? (vous pouvez cocher trois réponses maximum)",Autre :,169
"Selon vous, dans quels domaines l'Union européenne devrait agir de manière plus énergique et coordonnée ? (vous pouvez cocher trois réponses maximum)",Ne sait pas,0
"Pour rendre son action plus efficace, l'Union européenne devrait (vous pouvez cocher une seule réponse)",Réduire son domaine d’intervention,193
"Pour rendre son action plus efficace, l'Union européenne devrait (vous pouvez cocher une seule réponse)",Augmenter son domaine d’intervention,179
"Pour rendre son action plus efficace, l'Union européenne devrait (vous pouvez cocher une seule réponse)",Simplifier et accélérer ses mécanismes de décision,432
"Pour rendre son action plus efficace, l'Union européenne devrait (vous pouvez cocher une seule réponse)",Etre plus visible et mieux communiquer,218
"Pour rendre son action plus efficace, l'Union européenne devrait (vous pouvez cocher une seule réponse)",Autre,215
"Pour rendre son action plus efficace, l'Union européenne devrait (vous pouvez cocher une seule réponse)",Ne sait pas,8
"Selon vous, pour sortir de la crise actuelle, l'Union européenne devrait-elle transformer ses institutions ? (vous pouvez cocher une seule réponse)","Oui, en une fédération entre les Etats membres (« Etats-Unis d’Europe »)",304
"Selon vous, pour sortir de la crise actuelle, l'Union européenne devrait-elle transformer ses institutions ? (vous pouvez cocher une seule réponse)","Oui, en une fédération, mais seulement avec les Etats membres de la zone euro",439
"Selon vous, pour sortir de la crise actuelle, l'Union européenne devrait-elle transformer ses institutions ? (vous pouvez cocher une seule réponse)",En redonnant des pouvoirs aux Etats,246
"Selon vous, pour sortir de la crise actuelle, l'Union européenne devrait-elle transformer ses institutions ? (vous pouvez cocher une seule réponse)","Non, il ne faut rien changer",26
"Selon vous, pour sortir de la crise actuelle, l'Union européenne devrait-elle transformer ses institutions ? (vous pouvez cocher une seule réponse)",Autre :,195
"Selon vous, pour sortir de la crise actuelle, l'Union européenne devrait-elle transformer ses institutions ? (vous pouvez cocher une seule réponse)",Ne sait pas,40
